project_id,total,gsv,gsv_indexes,web,web_indexes
002,1,1,00,0,
003,4,0,,4,00;01;02;03
004,2,0,,2,00;01
005,1,1,00,0,
006,4,1,00,3,00;01;02
007,1,1,00,0,
008,2,0,,2,00;01
011,2,1,00,1,00
013,1,1,00,0,
014,2,1,00,1,00
015,2,1,00,1,02
016,1,1,00,0,
017,1,1,00,0,
018,2,1,00,1,00
019,1,1,00,0,
020,1,0,,1,01
021,1,0,,1,00
022,1,1,00,0,
023,1,0,,1,01
026,3,1,00,2,00;01
027,1,0,,1,00
028,1,1,00,0,
029,1,0,,1,01
033,1,0,,1,01
034,1,0,,1,00
035,1,0,,1,00
037,2,1,00,1,00
039,3,1,00,2,01;02
042,1,1,00,0,
044,1,0,,1,00
045,2,1,00,1,00
046,2,0,,2,00;01
047,3,1,00,2,00;01
049,1,0,,1,01
050,1,1,00,0,
053,2,0,,2,00;01
055,1,0,,1,00
056,2,0,,2,00;01
057,1,0,,1,02
058,2,1,00,1,00
060,1,1,00,0,
061,2,1,00,1,00
063,2,1,00,1,00
065,1,0,,1,00
066,2,0,,2,00;01
070,3,0,,3,00;01;02
071,1,1,00,0,
072,2,1,00,1,00
074,2,1,00,1,01
075,1,0,,1,00
077,1,0,,1,01
078,1,0,,1,00
079,1,0,,1,00
080,1,1,00,0,
081,2,1,00,1,00
082,2,0,,2,01;02
083,1,1,00,0,
085,2,1,00,1,00
089,3,1,00,2,00;01
090,2,0,,2,00;01
092,1,0,,1,00
093,2,1,00,1,00
095,3,1,00,2,00;01
096,2,0,,2,00;01
098,2,1,00,1,00
099,1,0,,1,00
102,1,0,,1,00
103,3,1,00,2,00;01
104,1,0,,1,00
106,1,1,00,0,
107,1,1,00,0,
111,1,1,00,0,
112,1,1,00,0,
115,2,0,,2,00;01
116,1,1,00,0,
118,1,1,00,0,
124,1,1,00,0,
126,1,0,,1,00
127,2,0,,2,00;01
128,2,0,,2,00;01
130,1,1,00,0,
132,4,1,00,3,00;01;02
133,1,1,00,0,
135,3,0,,3,00;01;02
136,5,1,00,4,00;01;02;03
139,1,0,,1,01
142,1,0,,1,02
144,1,0,,1,00
145,2,1,00,1,01
147,1,0,,1,00
148,1,1,00,0,
149,4,1,00,3,00;01;02
150,1,1,00,0,
152,3,1,00,2,00;01
153,1,1,00,0,
154,1,0,,1,00
155,1,1,00,0,
160,1,0,,1,00
161,3,0,,3,00;01;02
166,1,0,,1,00
167,3,1,00,2,00;01
168,1,1,00,0,
169,2,1,00,1,00
171,1,0,,1,00
173,1,1,00,0,
174,1,0,,1,00
175,1,1,00,0,
177,1,1,00,0,
178,1,1,00,0,
179,1,1,00,0,
180,1,1,00,0,
182,3,0,,3,00;01;02
185,2,1,00,1,00
186,2,0,,2,00;01
187,3,1,00,2,00;01
188,3,1,00,2,00;01
190,2,1,00,1,00
193,2,0,,2,00;01
194,1,0,,1,00
195,2,0,,2,00;01
196,2,0,,2,00;01
198,3,0,,3,00;01;02
199,2,0,,2,00;01
200,2,0,,2,00;01
201,3,0,,3,00;01;02
203,2,0,,2,00;01
204,2,0,,2,00;01
205,2,1,00,1,00
207,2,0,,2,00;01
208,1,0,,1,00
209,1,0,,1,00
210,3,0,,3,00;01;02
211,1,0,,1,01
213,1,0,,1,02
214,4,1,00,3,00;01;02
216,3,0,,3,00;01;02
217,2,1,00,1,00
218,2,0,,2,00;01
219,2,1,00,1,00
220,1,1,00,0,
223,1,0,,1,00
226,1,0,,1,00
227,1,0,,1,00
228,2,0,,2,00;01
229,4,0,,4,00;02;03;04
230,1,0,,1,00
231,1,0,,1,00
232,2,1,00,1,00
234,3,1,00,2,00;01
235,1,0,,1,00
237,2,0,,2,00;01
238,1,1,00,0,
239,1,0,,1,00
240,2,0,,2,00;01
241,1,0,,1,00
242,1,0,,1,00
