core_id,gt_filename,pr_filename,tp_green,fp_orange,fn_red,tn_black,total_pixels
046_web_01,000_046_web_01.jpg,046_web_01_jpg.rf.c03b8ff47c62cd5c623fc35826646363.png,30747,13035,974,364844,409600
046_web_00,001_046_web_00.jpg,046_web_00_jpg.rf.dc7d61c7def63d41e96767a8b20e137d.png,89443,26744,9308,284105,409600
008_web_01,002_008_web_01.jpg,008_web_01_jpg.rf.a03925dc38379e0b6bf58741aa2104b2.png,74792,73321,42502,218985,409600
111,003_111.jpg,111_jpg.rf.f482e3100c3fea4cf8d071f2efa16f2c.png,0,0,0,409600,409600
008_web_00,004_008_web_00.jpg,008_web_00_jpg.rf.21b6147c5aa8fffe510612aafa96e058.png,9033,2920,33742,363905,409600
173_144070_006nopv,005_173_144070_006nopv.jpg,173_144070_006nopv_jpg.rf.5294ec9add204b69b524bac6eccdb28d.png,0,0,0,409600,409600
115,006_115.jpg,115_jpg.rf.3304cdab0e8326a64cdd8113aad285d2.png,0,0,0,409600,409600
4297_302019902_228nopv,007_4297_302019902_228nopv.jpg,4297_302019902_228nopv_jpg.rf.8a0e722b88502c6edfb78f044fa6ba33.png,0,0,0,409600,409600
4292_302019811_227nopv,008_4292_302019811_227nopv.jpg,4292_302019811_227nopv_jpg.rf.d68d25b855efee6e3e45aa4e4b98f0f0.png,0,0,0,409600,409600
017_gsv_00,009_017_gsv_00.jpg,017_gsv_00_jpg.rf.b56c5d8dfb3d470e72d5bc0b2782b698.png,80129,1151,1562,326758,409600
293_web_02,010_293_web_02.jpg,293_web_02_jpg.rf.cbcaf2db7b5df017729cdd59f080a77f.png,92012,3099,1950,312539,409600
075_web_00,011_075_web_00.jpg,075_web_00_jpg.rf.fbb8226ac67add1883e9cfdcb26f5a21.png,32048,4747,3965,368840,409600
022_gsv_00,012_022_gsv_00.jpg,022_gsv_00_jpg.rf.d77e40ae05c9ae391c52f6e8824a891a.png,86755,4220,0,318625,409600
278_gsv_00,013_278_gsv_00.jpg,278_gsv_00_jpg.rf.5ebe4f4421628e9264d37e7796c025d6.png,55227,6394,1882,346097,409600
4249_302019666_221nopv,014_4249_302019666_221nopv.jpg,4249_302019666_221nopv_jpg.rf.69980b2f783ad9750afea0fab093eb31.png,0,0,0,409600,409600
124,015_124.jpg,124_jpg.rf.d357a191594aeaca5c5752a48104ff14.png,0,0,0,409600,409600
4043_302017895_188nopv,016_4043_302017895_188nopv.jpg,4043_302017895_188nopv_jpg.rf.d218a62f4394203e1f8613d131357ca9.png,0,0,0,409600,409600
278_web_01,017_278_web_01.jpg,278_web_01_jpg.rf.d3fae5cac3a8a8dd4e881414a5ef85d5.png,31478,9956,1472,366694,409600
293_web_01,018_293_web_01.jpg,293_web_01_jpg.rf.d1705d1d42d7ba5045ae3398aa955c4c.png,148641,4765,1284,254910,409600
2185_2369309_065nopv,019_2185_2369309_065nopv.jpg,2185_2369309_065nopv_jpg.rf.7cfdb8502d9782030787c433d1633c11.png,0,0,0,409600,409600
293_gsv_00,020_293_gsv_00.jpg,293_gsv_00_jpg.rf.eb38cf6e35f6a5ea2d0df6d18e0f305c.png,53841,1929,2148,351682,409600
4208_302019522_212nopv,021_4208_302019522_212nopv.jpg,4208_302019522_212nopv_jpg.rf.e60627b6f51cd17354e93f285a3dbc14.png,0,0,0,409600,409600
399_web_02,022_399_web_02.jpg,399_web_02_jpg.rf.0876c37d10ece63d35d8859431d9523b.png,7106,66011,5459,331024,409600
6109_302034278_294nopv,023_6109_302034278_294nopv.jpg,6109_302034278_294nopv_jpg.rf.c6a701ba006639513bc5f9cc05280ed2.png,0,0,0,409600,409600
2195_2369569_068nopv,024_2195_2369569_068nopv.jpg,2195_2369569_068nopv_jpg.rf.12014e5ff04bad5bc71b7986dc9b4c6e.png,0,0,0,409600,409600
71,025_71.jpg,71_jpg.rf.265d68f4c40c1bb0ded1313a0aa530a8.png,0,0,0,409600,409600
9,026_9.jpg,9_jpg.rf.4c779617a46461e47f503b04ab9097c6.png,0,0,0,409600,409600
399_web_01,027_399_web_01.jpg,399_web_01_jpg.rf.b6f77cb2d25913843b20a2cd2f992770.png,17326,1007,1365,389902,409600
152_web_01,028_152_web_01.jpg,152_web_01_jpg.rf.be59cb251c869efb13df88ef2f00e40d.png,118050,9095,495,281960,409600
234_145513_105nopv,029_234_145513_105nopv.jpg,234_145513_105nopv_jpg.rf.b7c33771c411876432e30b3407e5d73c.png,0,142,0,409458,409600
